36865 197075
el 28_de_desembre_de_1993
el 28_de_febrer
el 28_de_gener_del_1997
el 28_de_juny
el 28_de_setembre
el 28_per_cent
el 29%
el 29_d'_abril_de_1986
el 29_d'_abril_del_1998
el 29_d'_agost
el 29_de_juliol
el 29_de_març
el 2_de_juliol
el 2_de_maig
el 2_de_maig_de_1957
el 2_per_cent
el 3
el 3,3%
el 3,33%
el 3,4%
el 3,5%
el 3,6%
el 3,62_%
el 3,64%
el 3,7_per_cent
el 3,8%
el 30%
el 300
el 30_d'_abril_de_1997
el 30_de_desembre
el 30_de_gener
el 30_de_juny_de_1998
el 30_de_maig_de_1996
el 30_de_novembre
el 30_de_setembre
el 30_de_setembre_de_2001
el 30_per_cent
el 31'7%
el 31,5%
el 31_d'_agost
el 31_d'_octubre_de_1995
el 31_de_desembre
el 31_de_juliol
el 31_de_maig
el 31_de_maig_de_2003
el 32%
el 33,5_%
el 33,7%
el 34%
el 35_per_cent
el 36,16%
el 38'10_per_cent
el 38,8_%
el 39,7%
el 3_de_desembre_de_1999
el 4
el 4,1%
el 4,6%
el 4,63%
el 40%
el 41%
el 42
el 43,3_per_cent
el 43,5%
el 45%
el 45,3%
el 47,4_per_cent
el 49,90_per_cent
el 49,9_%
el 49_%
el 4_d'_abril
el 4_d'_agost_de_1983
el 4_d'_agost_de_1996
el 4_d'_octubre
el 4_de_juny
el 4_de_maig_de_1986
el 4_de_març_de_1998
el 4_de_novembre
el 4_per_cent
el 5
el 5%
el 5,2_%
el 5,4_%
el 5,6%
el 5,7_%
el 5,8%
el 5,90_%
el 5,90_per_cent
el 5-0
el 50%
el 50,3_per_cent
el 50,8_per_cent
el 50,9_%
el 50_per_cent
el 51_%
el 56%
el 56_%
el 58%
el 5_de_febrer_de_1999
el 5_de_setembre
el 6
el 6%
el 6,1_%
el 6,69%
el 60%
el 60_per_cent
el 62%
el 63,3%
el 65%
el 66%
el 67%
el 67_%
el 68,1_per_cent
el 69%
el 6_de_gener
el 6_de_juliol
el 6_de_juny
el 6_de_maig
el 6_de_març
el 7%
el 7,6%
el 7,69%
el 70%
el 70_%
el 73_%
el 73_per_cent
el 75%
el 796%
el 7_d'_abril
el 7_d'_agost_de_1924
el 7_d'_octubre
el 7_d'_octubre_del_2000
el 7_de_desembre_de_2000
el 7_de_juliol
el 7_de_juny
el 8%
el 8'5_per_cent
el 8,34%
el 8,5_per_cent
el 8,76_per_cent
el 8,8%
el 80%
el 80_per_cent
el 83_per_cent
el 85%
el 85_per_cent
el 87%
el 8_d'_agost
el 8_d'_octubre_de_1998
el 8_de_juliol_de_2003
el 8_de_juny
el 9
el 9,1%
el 9,16_per_cent
el 9,3%
el 9,58%
el 90%
el 94,4_per_cent
el 96
el 97,66%
el 98
el 99
el 99%
el 9_de_maig_de_l'_any_2002
el 9_de_març
el 9_de_març_de_1998
el 9_de_novembre_de_1989
el Ajuntament_de_Tarragona
el Alex_Barros
el Alexis_Cuadrado
el Anselm
el BBV
el BBVA
el BCE
el BILL_MCHENRY_QUINTET
el BNG
el BSCH
el BUP
el Badanadal
el Bages
el Baix_Empordà
el Baix_Llobregat
el Ball_Cerdà
el Ball_de_les_Cosses_de_Gósol
el Ballet_de_Moscú
el Banc_Europeu
el Banc_Mundial
el Banc_Sabadell
el Banc_d'_Espanya
el Banco_Atlántico
el Banco_Bilbao_Vizcaya
el Banco_Popular
el Banesto
el Bar_Mundial
el Barcelona
el Barcelona_Teatre_Musical
el Barcelonès
el Barri_Antic
el Barça
el Barça-Deportivo
el Barça_2000
el Barça_B
el Bateig_de_foc_de_Gaudí
el Batxillerat
el Bayerische_LandesBank
el Bayern
el Bayern_de_Munic
el Benetton
el Berguedà
el Biel_Majoral
el Bild
el Bonic
el Bou_d'_Or
el Brasil
el Break-Beat
el Brut
el CAC
el CAP
el CAT
el CGPJ
el CGT
el CIDEM
el CILMA
el CODE
el COI
el CONI
el COPCA
el CPC
el CPIDE
el CSIC
el Cadis
el Cadí-Moixeró
el Calvari
el Calçat
el Camp_Nou
el Camp_de_Tarragona
el Campionat_Mundial_d'_Atletisme
el Canadà
el Canal_Internacional
el Canal_d'_Urgell
el Canal_de_la_Mànega
el Canal_del_Marquès_de_Sentmenat
el Cant_dels_Segadors
el Cap
el Cardener
el Carib
el Carles_Porta
el Carles_Riba
el Carrefour
el Castell_de_sons
el Cau_Ferrat
el Celler_de_Can_Roca
el Celta
el Centre_Tecnològic
el Centre_Tecnològic_Forestal_de_Catalunya
el Centre_d'_Art_Santa_Mònica
el Centre_d'_Emergències_de_Catalunya
el Centre_de_Cultura_Contemporània_de_Barcelona
el Centre_de_Farmacovigilància_de_Catalunya
el Centre_de_Formació_Pràctica
el Centro_Andaluz_de_la_Fotografía
el Cercle
el Club_Arenys_de_Mar
el Club_Cruceiro
el Clínic
el Codi_Penal
el Col·legi_Oficial_d'_Enginyers_Tècnics_Agrícoles_i_Perits_Agrícoles
el Col·legi_Oficial_de_Farmacèutics
el Col·legi_Universitari_Maria_Cristina
el Col·legi_d'_Enginyers_Industrials_de_Catalunya
el Col·legi_d'_Interventors_i_Secretaris
el Col·legi_de_Psicòlegs_de_Girona
el Comissari_d'_Agricultura
el Comitè_Executiu
el Comitè_Veterinari_de_Catalunya
el Compte_General
el Compte_General_de_la_Generalitat
el Comú
el Concert
el Concerto_grosso
el Concurs_d'_Aparadors_de_Llibreries
el Concurs_internacional_d'_habitatge_a_Catalunya_:_400.000_habitatges
el Congost
el Congrés
el Congrés_dels_Diputats
el Consejo_Económico_y_Social
el Conselh
el Conselh_Generau_d'_Aran
el Consell
el Consell_Audiovisual_de_Catalunya
el Consell_Català_de_Formació_Professional
el Consell_Comarcal
el Consell_Comarcal_d'_Osona
el Consell_Comarcal_de_l'_Alt_Urgell
el Consell_Comarcal_de_l'_Anoia
el Consell_Comarcal_de_la_Ribera_d'_Ebre
el Consell_Comarcal_del_Baix_Llobregat
el Consell_Comarcal_del_Pla_de_l'_Estany
el Consell_Comarcal_del_Solsonès
el Consell_Comarcal_del_Vallès_Oriental
el Consell_Consultiu_del_Consorci_del_Parc_de_Collserola
el Consell_Europeu
el Consell_Executiu
el Consell_General_del_Poder_Judicial
el Consell_Nacional
el Consell_Nacional_de_l'_Aigua
el Consell_Nacional_de_la_Unió_de_Pagesos
el Consell_Regulador
el Consell_Regulador_de_la_Denominació_d'_Origen_Empordà-Costa_Brava
el Consell_d'_Estudiants
el Consell_d'_Europa
el Consell_d'_Iniciatives_Locals_per_al_Medi_Ambient
el Consell_de_Govern
el Consell_de_Ministres
el Consell_de_Ministres_d'_Agricultura
el Consell_de_Ministres_de_Justícia_i_Interior
el Consell_de_l'_Audiovisual_de_Catalunya
el Consell_del_Montsià
el Conseller_de_Política_Territorial_i_Obres_Públiques
el Conseller_en_Cap
el Consorci
el Consorci_de_Promoció_Turística
el Consorci_de_Promoció_Turística_del_Bages
el Consorci_de_Serveis_Agroambientals_del_Baix_Ebre_i_Montsià
el Consorci_de_la_Promoció_Comercial_de_Catalunya
el Consorci_per_a_la_Comunicació_Local
el Constitucional
el Constància
el Cor
el Cor_Lieder_Càmera
el Cor_Vivaldi
el Corpus
el Correllengua
el Cos_d'_Agents_Rurals
el Cuponazo
el DARP
el DJ
el DMA
el DNI
el DURSI
el DVD
el Delegat
el Delta
el Delta_de_l'_Ebre
el Departament
el Departament_d'_Agricultura
el Departament_d'_Estat
el Departament_de_Cultura
el Departament_de_Governació
el Departament_de_Governació_i_Relacions_Institucionals
el Departament_de_Medi_Ambient
el Departament_de_Medi_Ambient_de_la_Generalitat
el Departament_de_Política_Territorial_i_Obres_Públiques
el Departament_de_Sanitat
el Departament_de_Treball
el Departament_de_Treball_de_la_Generalitat
el Departament_de_l'_Arieja
el Deportivo
el Deutsche_Bank
el Dia_Mundial_de_la_Música
el Dia_Mundial_del_Medi_Ambient
el Dia_Universal_de_la_Sardana_1999
el Dia_dels_Beatles
el Diario_Regional_de_Valladolid
el Director_General_d'_Urbanisme
el Dopatge
el Eduardo_Bermúdez
el Enmascarado_de_Plata
el Executiu
el FOC
el Far_West
el Fernández_Díaz
el Ferrari
el Fest_Off
el Festina
el Festival
el Festival_Internacional_d'_Orgue
el Festival_Internacional_de_Blues_de_Cerdanyola
el Festival_Internacional_de_Cinema_de_Catalunya
el Festus
el Fi
el Fidel_Pereiro
el Financial_Times
el Fiscal
el Floquet
el Fluvià
el Fons_Monetari_Internacional
el Fons_de_Cohesió
el Forcem
el Francolí
el Free
el Front_Nacional
el Fuse
el Futbol_Club_Barcelona
el Fòrum
el Fòrum_Social_Mundial
el Fòrum_Universal_de_les_Cultures_Barcelona_2004
el Fòrum_de_les_Cultures
el Fòrum_de_les_Cultures_2004
el G8
el GEP
el Gabinet
el Gabinet_d'_Ardanza
el Gairebé
el Garraf
el Gaudí
el Gavis
el Gianni_Agnelli
el Giro
el Girona
el Girona_Gavis
el Govern
el Govern_Balear
el Govern_Basc
el Govern_Central
el Govern_d'_Aznar
el Govern_d'_Europa
el Govern_de_Castella_i_Lleó
el Govern_de_Catalunya
el Govern_de_l'_Estat
el Govern_de_la_Generalitat
el Graduat_Multimèdia
el Gremi_de_Restauració_de_Barcelona
el Grup_Basc
el Grup_Equip
el Grup_Municipal_de_CiU
el Grup_Parlamentari
el Grup_Teatre_IES_Martí_Franqués
el Grup_de_Contacte
el Grup_de_Defensa_del_Ter
el Grup_de_Dones_d'_Acció_Catòlica_Obrera
el Grup_de_Dones_de_l'_Església
el Grup_dels_Quatre
el Guy_'s_Hospital
el III_Festival_de_Músiques_Religioses_del_Món_de_Girona
el II_Concurs_de_Fotografia
el II_Pla_Nacional_de_Transició_a_l'_Euro
el James_Brown
el Japó
el Jazztus
el Jesús_Eguiguren
el Joan_Pau_II
el Jordan
el Josep_Sala
el Josep_Viñas
el José_María_Fernández
el Juan_Alberto_Belloch
el Juan_Fernando_López_Aguilar
el Jutjat_d'_Instrucció_Número_9
el Jutjat_de_Primera_Instància
el Juventus
el Kelme
el Kinder
el King_Kong
el Kremlin
el Li-ron_Herzelia_Choir
el Liceu
el Lili_Marleen
el Lletra_d'_Or
el Lliurament_del_II_Premi_de_Narrativa_Breu
el Lliure
el Llobregat
el Lluís_Homar
el MAR
el MUCE
el Madrid-Barcelona_Project
el Major
el Manchester_United
el Manifest_Groc
el Mar_Menor_de_Múrcia
el Marc_Forné
el Marc_Unitari_de_la_Comunitat_Educativa
el Maremagnum
el Maresme
el Marroc
el Mars_Pathfinder
el Mas-Colell
el Mas_Figueres
el Mas_Xirgu
el Memorial_Charlie_Rivel
el Mercat_de_Música
el Mercat_de_Música_Viva_de_Vic
el Mercatone_Uno
el Mestival_2002
el Metro
el Mika_Hakkinen
el Minerva
el Ministeri
el Ministeri_Públic
el Ministeri_d'_Agricultura
el Ministeri_d'_Assumptes_Exteriors
el Ministeri_d'_Economia
el Ministeri_d'_Educació_,_Cultura_i_Esports
el Ministeri_d'_Informació
el Ministeri_de_Ciència_i_Tecnologia
el Ministeri_de_Cultura
el Ministeri_de_Cultura_i_Comunicació
el Ministeri_de_Foment
el Ministeri_de_Justícia
el Ministeri_de_Medi_Ambient
el Ministeri_de_Treball
el Ministeri_de_Treball_i_Afers_Socials
el Ministeri_de_l'_Interior
el Ministerio_de_Fomento
el Moianès
el Monestir_de_les_Carmelites_Descalces
el Montsià
el Moshe_Iahalon
el Moviment_d'_Alliberament_Nacional_Basc
el Moviment_pel_Celibat_Opcional
el Mundial
el Mundial_de_Futbol
el Murciélago
el Museu
el Museu_Comarcal_de_la_Garrotxa
el Museu_Darder
el Museu_Municipal_Joan_Abelló
el Museu_Nacional_Arqueològic
el Museu_Nacional_Arqueològic_de_Tarragona
el Museu_d'_Art
el Museu_d'_Art_de_Sabadell
el Museu_d'_Història_de_Catalunya
el Museu_de_Geologia_Valentí_Masachs
el Museu_de_l'_Evolució_Humana
el Museu_de_la_Patum
el Museu_de_la_Pesca
el Museu_de_les_Tradicions_Catalanes
el Museu_del_Circ
el Museu_del_Port
el Màster
el Nadal
el Nen_de_Seva
el Nepal
el Nicolás_Redondo
el Nobel
el Nou_Testament
el Novelda
el Odón_Elorza
el PDI
el PER
el PGOU
el PGT
el PHN
el PIB
el PIT
el PNB
el PP
el PPC
el PSC
el PSDEG-PSOE
el PSE
el PSE-EE
el PSUC
el PSUC_Viu
el PTOP
el Pacte_d'_Estella
el Pacte_per_l'_Ocupació_de_Catalunya
el Pakistan
el Palau
el Palau_Firal
el Palau_Güell
el Palau_d'_Esports
el Palau_de_la_Música
el Palau_de_la_Música_Catalana
el Palau_de_la_Virreina
el Pallars_Jussà_la_Terra_Alta
el Pallars_Sobirà
el Papa
el Paradís
el Parament_de_la_Llar
el Parc
el Parc_Nacional
el Parc_Nacional_d'_Aigüestortes_i_Estany_de_Sant_Maurici
el Parc_Natural
el Parc_Natural_de_La_Garrotxa
el Parc_Natural_del_Delta_de_l'_Ebre
el Parc_Natural_del_Garraf
el Parc_Olímpic_del_Segre
el Parc_de_Vallparadís
el Parc_de_Visualització_de_Fauna_Autòctona_de_Bossost
el Park_Güell
el Parlament
el Parlament_Europeu
el Parlament_de_Catalunya
el Parlament_de_Vitòria
el Partit_Centrista_de_Catalunya
el Partit_Popular
el Partit_Quebequès
el Partit_Socialdemòcrata_Alemany
el Partit_Socialista
el Patrimoine_Photographique_de_París
el Patrimoni_Arquitectònic
el Patronat
el Patronat_d'_Estudis_Osonencs
el Patronat_de_Turisme_de_Cambrils
el Pavelló_Carmen_Martín_Gaite
el Pentagrama
el Pentàgon
el Perú
el Pinar_de_Blanes
el Piqué
el Pirata
el Pirineu
el Pirineu_Aragonés
el Pla
el Pla_Director_d'_Infraestructures
el Pla_Econòmicofinancer
el Pla_Especial_Camí_de_la_Cova
el Pla_Estratègic_'_Catalunya_en_Xarxa_'
el Pla_General
el Pla_General_Metropolità
el Pla_General_d'_Alp
el Pla_General_d'_Ordenació
el Pla_General_d'_Ordenació_Municipal
el Pla_General_d'_Ordenació_Urbana
el Pla_Hidrològic
el Pla_Hidrològic_Nacional
el Pla_Integral_del_Centre_de_Terrassa
el Pla_Integral_del_Delta_de_l'_Ebre
el Pla_Municipal_de_Gestió_de_Residus
el Pla_d'_Acció_Local_per_a_la_Sostenibilitat
el Pla_d'_Aparcaments_2000-2003
el Pla_d'_Emergències_per_Accidents_en_el_Transport_de_Mercaderies_Perilloses_en_Carretera_i_Ferrocarril_a_Catalunya
el Pla_d'_Espais_d'_Interès_Natural
el Pla_de_Campdorà
el Pla_de_Cultura
el Pla_de_Mobilitat
el Pla_de_Restitució_Territorial
el Plan
el Plan_Hidrológico_Nacional
el Ple
el Ple_del_Congrés_dels_Diputats
el Poble_Vell
el Poliesportiu_Municipal
el Pont_Major
el Port
el Port_Antic_de_l'_Escala
el Port_de_Tarragona
el Post-Bop
el Pou
el Prat
el Premi
el Premi_FAD
el Premi_Internacional_de_Composició_Musical_de_Tarragona
el Premi_Memorial_Jaume_Fuster
el Premi_Nacional
el Premi_Nacional_de_Literatura_de_la_Generalitat
el Premi_Nacional_de_les_Lletres_Espanyoles
el Premi_Nadal_1994
el Premi_Príncep_d'_Astúries_de_les_Lletres
el Premi_Sant_Jordi
el Premi_Trajectòria
el Premi_Tòria_d'_Or
el Premi_d'_Honor
el Premi_d'_Honor_de_les_Lletres_Catalanes
el Premi_de_Pintura-Honda_La_Garriga
el Premi_dels_Escriptors_Catalans_2003
el President
el President_de_la_Fundació
el President_del_Parlament
el Pressupost
el Principat
el Priorat
el Programa_CINDI
el Programa_Preventiu_per_a_Famílies_amb_Fills_Menors_de_6_anys
el Programa_d'_Educació_2000-2004
el Progrés
el Projecte
el Protocol_de_Comunicació_d'_Incidents_Menors
el Prudencia_Bertrana
el Pròxim_Orient
el Puig_de_Gallicant
el Punt_d'_Informació
el Purgatori
el Quart_Cinturó
el Quebec
el Quixot
el Raval
el Rayo
el Recreativo
el Recull
el Registre_Mercantil
el Reglament
el Regne_Unit
el Rei
el Reial_Club_Marítim
el Reial_Decret
el Reial_Decret_d'_Ordenació_Porcina
el Reial_Madrid
el Reus
el Ripollès
el River_Plate
el Rodolfo_Montero
el Rotary_Club
el Royal_Clipper
el SCC
el Salernitana
el Saló_de_l'_Automòbil
el Sant_Jordi
el Sant_Pare
el Santiburcio
el Savoy
el Secretari_d'_Estat_d'_Infraastructures
el Secretari_d'_Infraestructures
el Senat
el Seneci_del_Cap
el Servei_Català_de_Trànsit
el Servei_Català_de_la_Salut
el Servei_d'_Informació_Cultural
el Servei_d'_Internet
el Servei_de_Dermatologia
el Servei_de_Metorologia_de_Catalunya
el Servei_de_Protecció_de_la_Natura
el Servei_de_Protecció_de_la_Naturalesa
el Simpathy_for_the_devil
el Sluizer
el Solsonès
el Sondheim
el Sopar_Medieval
el Subdelegat
el Superaxe_Equipe
el Suprem
el Sàhara
el Síndic
el Síndic_de_Greuges
el TAV
el TGV
el TNC
el TSJC
el Talgo_21
el Tau
el Tau_Cerámica_de_Vitòria
el Teatre-Auditori
el Teatre_Bartrina_de_Reus
el Teatre_Nacional_de_Catalunya
el Teatre_Poliorama
el Teatre_Teatraneu
el Telecentre
el Teneighty
el Ter
el The_Emerald
el The_pet_sounds_sessions_._B
el Tireless
el Torneig_Conde_de_Godó
el Tot
el Tot_explota
el Tour
el Tour-99
el Tractat_d'_Amsterdam
el Tractat_de_la_UE
el Tractat_de_la_Unió_Europea
el Trambaix
el Transport
el Tren_d'_Alta_Velocitat
el Tribunal_Constitucional
el Tribunal_Superior_d'_Extremadura
el Tribunal_Suprem
el Tribunal_de_Comptes
el Tribunal_de_l'_Haia
el Tribunal_de_l'_ONU
el Triumvirat
el Turó_Parc
el Tòria_d'_Or
el Uderzo
el United
el V_Premi_Ramon_Trias_Fargas
el Vallès_Occidental
el Vallès_Oriental
el València
el Van_Gogh
el Vaticà
el Vestit
el Vicente_Pérez_Herrero
el Victòria
el Virallonga
el WHC
el Weekend_americà
el X-Scream
el XIV
el XIX
el XX
el Xavi
el Zamora
el abandonament
el aclarir
el aconseguit
el acord
el acordar
el acordat
el acte
el actor
el adequat
el adoptant
el adoptar
el afanyat
el afectar
el agrada
el agressor
el ajornament
el ajornar
el ajusta
el alcalde
el aliment
el alliberament
el ambient
el americà
el aniversari
el anticipa
el antídot
el any
el apunta
el apunyalar
el aquarterament
el argument
el arquitecte
el artista
el ascens
el assentament
el assenyalar
el atacar
el atemptat
el autor
el avançat
el aviat
el bacallà
el bagatge
el baix
el baixista
el balanç
el ball
el banc
el banquer
el bany
el bar
el barat
el barri
el barril
el baròmetre
el basament
el base
el basquetbolista
